'may 20 2034', '2034-05-20'
'sun 1971 22 august', '1971-08-22'
'2 august 1773', '1773-08-02'
'september 4 1637', '1637-09-04'
'17 october 1733', '1733-10-17'
'mon 15 nov 1599', '1599-11-15'
'9 august 1968', '1968-08-09'
'29 march 1557', '1557-03-29'
'mar 29 1720', '1720-03-29'
'fri 21 sep 1827', '1827-09-21'
'january 25 1708', '1708-01-25'
'sat 20 feb 1588', '1588-02-20'
'march 4 1623', '1623-03-04'
'july 4 1847', '1847-07-04'
'sat 25 mar 1837', '1837-03-25'
'17 april 1744', '1744-04-17'
'9 may 1970', '1970-05-09'
'jun 25 2067', '2067-06-25'
'1737 7 jul', '1737-07-07'
'january 8 2067', '2067-01-08'
'december 21 1562', '1562-12-21'
'18 jan 1689', '1689-01-18'
'1958 8 february', '1958-02-08'
'6/29/37', '1737-06-29'
'5/26/57', '1757-05-26'
'1783 6 may', '1783-05-06'
'saturday april 8 1724', '1724-04-08'
'12 october 2048', '2048-10-12'
'wednesday september 10 1879', '1879-09-10'
'wed 1888 1 february', '1888-02-01'
'jan 9 1636', '1636-01-09'
'1562 24 december', '1562-12-24'
'tue 23 feb 1734', '1734-02-23'
'friday may 13 1740', '1740-05-13'
'august 28 1972', '1972-08-28'
'oct 21 1881', '1881-10-21'
'2 mar 1676', '1676-03-02'
'tuesday october 30 1725', '1725-10-30'
'12 march 1662', '1662-03-12'
'14 jan 1816', '1816-01-14'
'thursday november 22 1917', '1917-11-22'
'5 december 1841', '1841-12-05'
'june 12 1616', '1616-06-12'
'sat 1743 5 january', '1743-01-05'
'feb 6 2069', '2069-02-06'
'december 21 2051', '2051-12-21'
'november 29 1556', '1556-11-29'
'monday 1995 10 07', '1995-07-10'
'wed 5 jul 1950', '1950-07-05'
'sunday january 1 1595', '1595-01-01'
'thu 29 apr 2060', '2060-04-29'
'saturday 1663 29 12', '1663-12-29'
'mar 13 1884', '1884-03-13'
'3 february 1751', '1751-02-03'
'mar 23 1980', '1980-03-23'
'25/02/1749', '1749-02-25'
'monday february 14 2056', '2056-02-14'
'14 may 1802', '1802-05-14'
'jan 12 1961', '1961-01-12'
'friday february 21 1997', '1997-02-21'
'03/04/1756', '1756-04-03'
'18 nov 1993', '1993-11-18'
'jan 15 2058', '2058-01-15'
'friday january 21 1735', '1735-01-21'
'thursday 29 november 1792', '1792-11-29'
'1755 21 feb', '1755-02-21'
'14 feb 1788', '1788-02-14'
'9 may 1533', '1533-05-09'
'2035 11 dec', '2035-12-11'
'2018 19 nov', '2018-11-19'
'apr 27 1629', '1629-04-27'
'25/10/1541', '1541-10-25'
'27 january 1753', '1753-01-27'
'21 april 1652', '1652-04-21'
'feb 19 1631', '1631-02-19'
'11/03/1988', '1988-03-11'
'11/04/1782', '1782-04-11'
'tuesday 1650 16 08', '1650-08-16'
'5 october 1624', '1624-10-05'
'dec 9 2034', '2034-12-09'
'mon 1911 30 october', '1911-10-30'
'mar 2 1755', '1755-03-02'
'january 16 1790', '1790-01-16'
'1870 11 jul', '1870-07-11'
'march 29 1565', '1565-03-29'
'9/23/63', '1663-09-23'
'jun 20 1920', '1920-06-20'
'fri 8 aug 1698', '1698-08-08'
'january 7 1963', '1963-01-07'
'14 september 1612', '1612-09-14'
'july 10 2007', '2007-07-10'
'mon 9 nov 1722', '1722-11-09'
'nov 23 1974', '1974-11-23'
'march 22 1693', '1693-03-22'
'7 september 1979', '1979-09-07'
'29/01/1794', '1794-01-29'
'18/03/1678', '1678-03-18'
'17 november 1836', '1836-11-17'
'jul 17 1762', '1762-07-17'
'october 10 1561', '1561-10-10'
'march 21 1859', '1859-03-21'
'18/06/1558', '1558-06-18'
'saturday 1536 7 03', '1536-03-07'
'9 november 1853', '1853-11-09'
'thu 18 mar 1762', '1762-03-18'
'1776 10 november', '1776-11-10'
'march 29 1837', '1837-03-29'
'october 3 1786', '1786-10-03'
'sat 1936 8 february', '1936-02-08'
'saturday november 28 1987', '1987-11-28'
'thu 1522 13 april', '1522-04-13'
'august 28 2027', '2027-08-28'
'tue 15 mar 1622', '1622-03-15'
'wednesday march 31 1632', '1632-03-31'
'dec 7 1794', '1794-12-07'
'may 6 1721', '1721-05-06'
'28 may 1814', '1814-05-28'
'13 july 1835', '1835-07-13'
'1941 3 june', '1941-06-03'
'september 18 1592', '1592-09-18'
'nov 18 1991', '1991-11-18'
'jul 21 1586', '1586-07-21'
'september 9 1627', '1627-09-09'
'may 27 1579', '1579-05-27'
'september 21 2014', '2014-09-21'
'friday march 25 1729', '1729-03-25'
'2021 26 aug', '2021-08-26'
'11/15/07', '1707-11-15'
'november 13 1525', '1525-11-13'
'mon 1985 29 april', '1985-04-29'
'friday 24 december 2021', '2021-12-24'
'february 19 1861', '1861-02-19'
'26 june 1686', '1686-06-26'
'monday march 5 2046', '2046-03-05'
'monday october 17 1859', '1859-10-17'
'28 may 1803', '1803-05-28'
'3/20/27', '2027-03-20'
'feb 23 2051', '2051-02-23'
'april 26 1649', '1649-04-26'
'may 19 1748', '1748-05-19'
'thursday october 30 1664', '1664-10-30'
'25 september 1738', '1738-09-25'
'july 5 1822', '1822-07-05'
'10 march 2001', '2001-03-10'
'august 24 1682', '1682-08-24'
'may 30 1948', '1948-05-30'
'1786 14 dec', '1786-12-14'
'sat 1911 11 november', '1911-11-11'
'jul 24 1587', '1587-07-24'
'sunday october 2 2050', '2050-10-02'
'april 27 1562', '1562-04-27'
'10 august 2063', '2063-08-10'
'1919 14 nov', '1919-11-14'
'november 25 1756', '1756-11-25'
'sat 21 apr 1883', '1883-04-21'
'1917 24 sep', '1917-09-24'
'tuesday may 18 1841', '1841-05-18'
'october 16 1960', '1960-10-16'
'6/1/00', '2000-06-01'
'jul 6 1966', '1966-07-06'
'november 18 1786', '1786-11-18'
'march 7 1739', '1739-03-07'
'apr 11 1798', '1798-04-11'
'8 september 1641', '1641-09-08'
'october 19 2030', '2030-10-19'
'23 february 1620', '1620-02-23'
'jul 9 1820', '1820-07-09'
'1960 14 january', '1960-01-14'
'mar 2 1935', '1935-03-02'
'19 august 1923', '1923-08-19'
'friday april 13 1787', '1787-04-13'
'may 28 1705', '1705-05-28'
'saturday march 16 1850', '1850-03-16'
'5/27/00', '1900-05-27'
'tuesday january 29 1861', '1861-01-29'
'february 26 1681', '1681-02-26'
'jul 21 1856', '1856-07-21'
'8 december 1551', '1551-12-08'
'thu 2017 23 february', '2017-02-23'
'may 27 1562', '1562-05-27'
'feb 12 1699', '1699-02-12'
'sep 21 1876', '1876-09-21'
'august 4 1750', '1750-08-04'
'1722 17 may', '1722-05-17'
'sunday 12 january 2059', '2059-01-12'
'sat 26 oct 1901', '1901-10-26'
'tuesday 29 january 1602', '1602-01-29'
'thu 11 mar 1548', '1548-03-11'
'17 may 1645', '1645-05-17'
'18 september 1881', '1881-09-18'
'tuesday 1778 15 12', '1778-12-15'
'9 mar 2013', '2013-03-09'
'sunday august 4 1754', '1754-08-04'
'wednesday june 10 2043', '2043-06-10'
'april 16 2014', '2014-04-16'
'thursday june 20 2030', '2030-06-20'
'march 1 1830', '1830-03-01'
'10/30/66', '1566-10-30'
'16 march 1927', '1927-03-16'
'friday 30 august 2019', '2019-08-30'
'march 17 1747', '1747-03-17'
'1536 19 sep', '1536-09-19'
'january 31 1601', '1601-01-31'
'27 august 2011', '2011-08-27'
'may 16 1606', '1606-05-16'
'monday february 28 1910', '1910-02-28'
'1792 9 april', '1792-04-09'
'april 2 1579', '1579-04-02'
'26 aug 1844', '1844-08-26'
'may 8 1872', '1872-05-08'
'june 19 1732', '1732-06-19'
'wed 1945 10 october', '1945-10-10'
'may 3 1621', '1621-05-03'
'saturday 1841 21 08', '1841-08-21'
'october 4 1759', '1759-10-04'
'monday october 27 1625', '1625-10-27'
'18 july 1574', '1574-07-18'
'feb 3 1948', '1948-02-03'
'march 27 1625', '1625-03-27'
'07/02/2021', '2021-02-07'
'24 august 1616', '1616-08-24'
'monday 1522 27 02', '1522-02-27'
'1765 11 jul', '1765-07-11'
'21 february 2009', '2009-02-21'
'december 28 1562', '1562-12-28'
'wednesday april 27 1689', '1689-04-27'
'2004 21 october', '2004-10-21'
'27 september 1876', '1876-09-27'
'november 13 1589', '1589-11-13'
'july 21 1746', '1746-07-21'
'march 31 1694', '1694-03-31'
'22 september 1614', '1614-09-22'
'1935 29 march', '1935-03-29'
'aug 11 2023', '2023-08-11'
'21 june 2019', '2019-06-21'
'november 19 1996', '1996-11-19'
'january 25 1769', '1769-01-25'
'1977 11 december', '1977-12-11'
'oct 27 1579', '1579-10-27'
'july 1 1641', '1641-07-01'
'september 20 2002', '2002-09-20'
'31 march 1785', '1785-03-31'
'26 september 1838', '1838-09-26'
'11 july 2017', '2017-07-11'
'9/1/56', '1656-09-01'
'monday 1840 23 03', '1840-03-23'
'november 21 1574', '1574-11-21'
'tue 1538 1 november', '1538-11-01'
'sunday 1614 30 11', '1614-11-30'
'monday september 29 1541', '1541-09-29'
'january 2 1998', '1998-01-02'
'march 16 1977', '1977-03-16'
'february 14 1708', '1708-02-14'
'sat 1547 27 december', '1547-12-27'
'8 september 1886', '1886-09-08'
'10/01/1558', '1558-01-10'
'wed 1 aug 2029', '2029-08-01'
'november 11 2010', '2010-11-11'
'23 january 1877', '1877-01-23'
'friday february 22 1788', '1788-02-22'
'mar 11 1542', '1542-03-11'
'20 september 1957', '1957-09-20'
'sat 1743 28 september', '1743-09-28'
'14 march 1965', '1965-03-14'
'sun 4 may 1997', '1997-05-04'
'thursday february 29 1940', '1940-02-29'
'jan 11 1598', '1598-01-11'
'feb 9 1701', '1701-02-09'
'august 7 1593', '1593-08-07'
'sun 1600 16 april', '1600-04-16'
'sep 17 1608', '1608-09-17'
'sunday october 16 1870', '1870-10-16'
'tuesday september 4 1945', '1945-09-04'
'tuesday 10 may 2067', '2067-05-10'
'august 27 1779', '1779-08-27'
'17 january 2013', '2013-01-17'
'saturday may 15 1638', '1638-05-15'
'wednesday 23 may 1753', '1753-05-23'
'monday april 7 1845', '1845-04-07'
'10/05/1537', '1537-05-10'
'12/8/25', '1625-12-08'
'7 august 1754', '1754-08-07'
'1858 23 january', '1858-01-23'
'1694 26 oct', '1694-10-26'
'18 july 1686', '1686-07-18'
'14/03/1792', '1792-03-14'
'sat 1548 28 august', '1548-08-28'
'fri 16 may 1586', '1586-05-16'
'monday 2011 24 01', '2011-01-24'
'22 august 1549', '1549-08-22'
'december 26 1551', '1551-12-26'
'september 16 1779', '1779-09-16'
'august 27 1949', '1949-08-27'
'friday 7 august 1693', '1693-08-07'
'tuesday 1837 31 01', '1837-01-31'
'1791 13 june', '1791-06-13'
'sunday 1888 23 09', '1888-09-23'
'nov 27 1952', '1952-11-27'
'1567 13 june', '1567-06-13'
'1532 22 jan', '1532-01-22'
'february 1 1729', '1729-02-01'
'27 february 1899', '1899-02-27'
'sunday 1558 9 03', '1558-03-09'
'5 september 2046', '2046-09-05'
'12 may 1778', '1778-05-12'
'sun 16 feb 1721', '1721-02-16'
'5 august 1731', '1731-08-05'
'april 1 1778', '1778-04-01'
'5 february 1526', '1526-02-05'
'15 august 1830', '1830-08-15'
'oct 1 1714', '1714-10-01'
'wed 1572 5 april', '1572-04-05'
'12 october 1923', '1923-10-12'
'thursday 1603 27 11', '1603-11-27'
'saturday 1930 25 01', '1930-01-25'
'8/12/97', '1997-08-12'
'14 dec 1596', '1596-12-14'
'may 14 1786', '1786-05-14'
'march 24 2066', '2066-03-24'
'monday august 19 1929', '1929-08-19'
'1803 24 dec', '1803-12-24'
'4/28/76', '1976-04-28'
'5 august 1906', '1906-08-05'
'thursday 27 november 1692', '1692-11-27'
'thu 1811 23 may', '1811-05-23'
'march 29 1623', '1623-03-29'
'27 february 1548', '1548-02-27'
'1816 12 october', '1816-10-12'
'march 24 1606', '1606-03-24'
'sunday july 13 1913', '1913-07-13'
'1579 28 may', '1579-05-28'
'monday october 6 1845', '1845-10-06'
'may 1 2054', '2054-05-01'
'22 april 1717', '1717-04-22'
'3/21/69', '1669-03-21'
'september 16 1872', '1872-09-16'
'20 january 1828', '1828-01-20'
'april 11 1709', '1709-04-11'
'1856 15 jul', '1856-07-15'
'january 19 2056', '2056-01-19'
'september 21 1740', '1740-09-21'
'10/09/1568', '1568-09-10'
'01/03/1863', '1863-03-01'
'mar 19 1574', '1574-03-19'
'4 september 1869', '1869-09-04'
'november 18 1545', '1545-11-18'
'september 19 1548', '1548-09-19'
'thu 7 jun 1990', '1990-06-07'
'1635 30 august', '1635-08-30'
'may 13 1881', '1881-05-13'
'saturday september 30 1702', '1702-09-30'
'sunday 13 december 2015', '2015-12-13'
'february 3 1597', '1597-02-03'
'6 july 1698', '1698-07-06'
'dec 24 1585', '1585-12-24'
'june 6 1879', '1879-06-06'
'march 11 1731', '1731-03-11'
'sunday november 16 1884', '1884-11-16'
'july 26 1691', '1691-07-26'
'8/25/50', '1750-08-25'
'thu 29 jul 1965', '1965-07-29'
'feb 20 1954', '1954-02-20'
'16 may 1677', '1677-05-16'
'31 may 1548', '1548-05-31'
'21 sep 1899', '1899-09-21'
'sun 12 feb 1612', '1612-02-12'
'1854 11 march', '1854-03-11'
'saturday 2065 10 01', '2065-01-10'
'12 october 1919', '1919-10-12'
'14 july 1746', '1746-07-14'
'july 18 1792', '1792-07-18'
'10/29/17', '1717-10-29'
'tuesday february 24 1920', '1920-02-24'
'23 february 1998', '1998-02-23'
'september 7 1923', '1923-09-07'
'jun 4 1618', '1618-06-04'
'29 december 1542', '1541-12-29'
'sunday 1536 15 03', '1536-03-15'
'january 16 1887', '1887-01-16'
'19 december 1720', '1720-12-19'
'18 dec 2028', '2028-12-18'
'tuesday 1588 30 08', '1588-08-30'
'wednesday may 27 1857', '1857-05-27'
'20 april 1702', '1702-04-20'
'7 september 1585', '1585-09-07'
'april 6 1540', '1540-04-06'
'19/08/1905', '1905-08-19'
'1939 12 oct', '1939-10-12'
'wednesday 1709 9 10', '1709-10-09'
'may 7 1585', '1585-05-07'
'jan 25 2051', '2051-01-25'
'december 4 1827', '1827-12-04'
'aug 16 2038', '2038-08-16'
'apr 14 1711', '1711-04-14'
'25 november 1818', '1818-11-25'
'saturday may 16 1903', '1903-05-16'
'monday july 26 1779', '1779-07-26'
'friday august 2 1613', '1613-08-02'
'march 5 2004', '2004-03-05'
'october 18 1696', '1696-10-18'
'october 1 1866', '1866-10-01'
'1888 21 december', '1888-12-21'
'1830 7 march', '1830-03-07'
'thursday february 23 1708', '1708-02-23'
'march 18 1613', '1613-03-18'
'14 feb 1709', '1709-02-14'
'wednesday 1545 28 03', '1545-03-28'
'nov 23 1838', '1838-11-23'
'1/23/75', '1675-01-23'
'july 29 1929', '1929-07-29'
'sunday october 1 1826', '1826-10-01'
'saturday march 12 2050', '2050-03-12'
'october 24 1773', '1773-10-24'
'3 february 1971', '1971-02-03'
'september 17 1652', '1652-09-17'
'1613 21 january', '1613-01-21'
'thursday january 24 1704', '1704-01-24'
'8/18/15', '1715-08-18'
'1/19/24', '1624-01-19'
'tue 2025 14 october', '2025-10-14'
'apr 25 1980', '1980-04-25'
'december 23 1662', '1662-12-23'
'1581 14 oct', '1581-10-14'
'10 may 1640', '1640-05-10'
'jan 17 1536', '1536-01-17'
'april 10 1524', '1524-04-10'
'january 16 2029', '2029-01-16'
'mon 26 dec 1881', '1881-12-26'
'mar 23 1979', '1979-03-23'
'august 20 1923', '1923-08-20'
'march 28 1671', '1671-03-28'
'october 13 1957', '1957-10-13'
'feb 23 1863', '1863-02-23'
'10/6/23', '1623-10-06'
'8 apr 1760', '1760-04-08'
'october 20 1633', '1633-10-20'
'tuesday june 12 1821', '1821-06-12'
'november 26 1561', '1561-11-26'
'tuesday 1793 1 01', '1793-01-01'
'19 september 1811', '1811-09-19'
'may 10 1786', '1786-05-10'
'23 september 1929', '1929-09-23'
'3/28/81', '1681-03-28'
'sunday december 23 1674', '1674-12-23'
'wednesday 1764 23 05', '1764-05-23'
'thursday 30 april 1896', '1896-04-30'
'jan 9 2056', '2056-01-09'
'mon 15 aug 1729', '1729-08-15'
'1745 10 april', '1745-04-10'
'apr 8 1879', '1879-04-08'
'friday 1583 2 12', '1583-12-02'
'26 nov 1879', '1879-11-26'
'monday october 1 1877', '1877-10-01'
'thursday 1860 12 07', '1860-07-12'
'jul 22 1642', '1642-07-22'
'tuesday april 25 1628', '1628-04-25'
'monday 1620 3 08', '1620-08-03'
'15 october 1755', '1755-10-15'
'oct 29 1684', '1684-10-29'
'oct 31 1685', '1685-10-31'
'may 21 1689', '1689-05-21'
'tuesday 27 december 1904', '1904-12-27'
'jun 19 1771', '1771-06-19'
'april 1 1985', '1985-04-01'
'25/05/1797', '1797-05-25'
'december 31 1545', '1545-12-31'
'oct 20 1745', '1745-10-20'
'oct 1 2011', '2011-10-01'
'8 may 1952', '1952-05-08'
'30/06/1747', '1747-06-30'
'jun 13 1930', '1930-06-13'
'21 mar 1694', '1694-03-21'
'18 december 1667', '1667-12-18'
'4 july 1734', '1734-07-04'
'tuesday march 19 1776', '1776-03-19'
'january 30 1716', '1716-01-30'
'1983 30 jul', '1983-07-30'
'thu 2060 8 january', '2060-01-08'
'august 18 1678', '1678-08-18'
'thu 18 jul 2041', '2041-07-18'
'saturday 1568 17 08', '1568-08-17'
'august 2 1888', '1888-08-02'
'17 july 1895', '1895-07-17'
'wed 29 mar 2006', '2006-03-29'
'jun 25 1601', '1601-06-25'
'25 august 1897', '1897-08-25'
'december 26 1833', '1833-12-26'
'fri 1620 13 march', '1620-03-13'
'21 october 1673', '1673-10-21'
'17 may 1697', '1697-05-17'
'monday june 29 1531', '1531-06-29'
'mon 1717 8 march', '1717-03-08'
'sun 1538 23 october', '1538-10-23'
'november 15 1524', '1524-11-15'
'august 3 1801', '1801-08-03'
'august 13 1915', '1915-08-13'
'wednesday march 12 1851', '1851-03-12'
'april 9 1538', '1538-04-09'
'february 2 1863', '1863-02-02'
'11/11/22', '1522-11-11'
'tuesday september 16 1834', '1834-09-16'
'02/06/1849', '1849-06-02'
'12 december 1836', '1836-12-12'
'tuesday november 18 1704', '1704-11-18'
'sun 2020 27 september', '2020-09-27'
'august 4 1785', '1785-08-04'
'sun 3 jul 1859', '1859-07-03'
'june 20 1974', '1974-06-20'
'november 18 2013', '2013-11-18'
'november 28 1926', '1926-11-28'
'1887 19 october', '1887-10-19'
'sun 12 apr 1863', '1863-04-12'
'friday june 10 1904', '1904-06-10'
'november 18 1710', '1710-11-18'
'1798 14 jun', '1798-06-14'
'jul 23 1999', '1999-07-23'
'1890 27 january', '1890-01-27'
'jan 26 1861', '1861-01-26'
'thursday 1523 6 12', '1523-12-06'
'april 7 1811', '1811-04-07'
'10 aug 2040', '2040-08-10'
'september 19 1636', '1636-09-19'
'20 august 1925', '1925-08-20'
'1548 2 july', '1548-07-02'
'thu 1949 13 january', '1949-01-13'
'november 16 1819', '1819-11-16'
'4 january 1949', '1949-01-04'
'november 9 2053', '2053-11-09'
'friday february 10 1826', '1826-02-10'
'2 july 2071', '2071-07-02'
'october 12 1600', '1600-10-12'
'10 february 2042', '2042-02-10'
'2047 1 may', '2047-05-01'
'29 july 1661', '1661-07-29'
'6 march 1587', '1587-03-06'
'fri 1893 6 october', '1893-10-06'
'sunday 2 september 1551', '1551-09-02'
'saturday 1722 18 04', '1722-04-18'
'1622 19 november', '1622-11-19'
'29 may 1826', '1826-05-29'
'march 2 1647', '1647-03-02'
'sep 10 1662', '1662-09-10'
'17/06/1662', '1662-06-17'
'14 january 1941', '1941-01-14'
'18 jul 1581', '1581-07-18'
'jul 5 1763', '1763-07-05'
'mar 21 1873', '1873-03-21'
'may 28 1783', '1783-05-28'
'6/3/84', '1684-06-03'
'jun 26 1955', '1955-06-26'
'april 12 1735', '1735-04-12'
'10/18/36', '1636-10-18'
'25 apr 1635', '1635-04-25'
'mon 7 aug 2028', '2028-08-07'
'2 april 1576', '1576-04-02'
'nov 7 1955', '1955-11-07'
'december 20 1969', '1969-12-20'
'mar 17 1828', '1828-03-17'
'1642 25 mar', '1642-03-25'
'september 21 1540', '1540-09-21'
'march 11 1567', '1567-03-11'
'december 29 2069', '2069-12-29'
'july 14 1621', '1621-07-14'
'2 august 1563', '1563-08-02'
'august 27 1855', '1855-08-27'
'2064 17 march', '2064-03-17'
'tuesday january 2 1917', '1917-01-02'
'25 june 2003', '2003-06-25'
'sep 18 1643', '1643-09-18'
'feb 11 1785', '1785-02-11'
'october 9 2007', '2007-10-09'
'jul 13 1708', '1708-07-13'
'17 nov 1889', '1889-11-17'
'1871 5 feb', '1871-02-05'
'march 10 1770', '1770-03-10'
'july 24 1574', '1574-07-24'
'november 8 1618', '1618-11-08'
'8 february 1627', '1627-02-08'
'jun 14 1834', '1834-06-14'
'march 31 1609', '1609-03-31'
'apr 11 1801', '1801-04-11'
'friday 1841 15 01', '1841-01-15'
'april 11 1577', '1577-04-11'
'tuesday 1675 3 09', '1675-09-03'
'18/04/1833', '1833-04-18'
'friday november 8 1737', '1737-11-08'
'25 may 1646', '1646-05-25'
'jun 4 1713', '1713-06-04'
'wednesday september 22 1571', '1571-09-22'
'1801 27 oct', '1801-10-27'
'dec 11 1532', '1532-12-11'
'november 5 1645', '1645-11-05'
'3 december 1915', '1915-12-03'
'february 18 1669', '1669-02-18'
'mar 21 1971', '1971-03-21'
'march 26 1550', '1550-03-26'
'friday 5 december 1856', '1856-12-05'
'december 7 1640', '1640-12-07'
'august 3 1730', '1730-08-03'
'june 20 1763', '1763-06-20'
'13 september 1758', '1758-09-13'
'july 10 1690', '1690-07-10'
'30 august 1852', '1852-08-30'
'tue 2004 13 july', '2004-07-13'
'8 aug 2002', '2002-08-08'
'9 dec 1684', '1684-12-09'
'4 dec 1592', '1592-12-04'
'14 may 1531', '1531-05-14'
'1698 9 sep', '1698-09-09'
'1946 13 aug', '1946-08-13'
'friday 12 june 1643', '1643-06-12'
'1564 9 february', '1564-02-09'
'1 april 1551', '1551-04-01'
'6/21/23', '1623-06-21'
'2053 5 january', '2053-01-05'
'jan 30 1590', '1590-01-30'
'1/17/23', '2023-01-17'
'6 december 1609', '1609-12-06'
'16 december 1681', '1681-12-16'
'june 24 1878', '1878-06-24'
'april 5 2045', '2045-04-05'
'11 oct 1878', '1878-10-11'
'2049 17 aug', '2049-08-17'
'2 november 1957', '1957-11-02'
'25 january 1753', '1753-01-25'
'20 november 1722', '1722-11-20'
'30 apr 1821', '1821-04-30'
'18 june 1872', '1872-06-18'
'23 april 1646', '1646-04-23'
'28 april 1630', '1630-04-28'
'march 12 1871', '1871-03-12'
'2039 11 march', '2039-03-11'
'04/12/1702', '1702-12-04'
'january 16 1708', '1708-01-16'
'april 4 1829', '1829-04-04'
'22 october 1742', '1742-10-22'
'thursday february 26 1801', '1801-02-26'
'wed 5 nov 1642', '1642-11-05'
'saturday 8 december 1714', '1714-12-08'
'march 27 1799', '1799-03-27'
'july 26 2053', '2053-07-26'
'6/23/40', '2040-06-23'
'thu 1991 14 february', '1991-02-14'
'nov 28 1737', '1737-11-28'
'7/8/42', '2042-07-08'
'may 22 1688', '1688-05-22'
'1760 20 june', '1760-06-20'
'3 april 1999', '1999-04-03'
'august 7 1636', '1636-08-07'
'09/05/1560', '1560-05-09'
'sunday october 19 1541', '1541-10-19'
'sat 15 jan 1678', '1678-01-15'
'mon 1807 30 november', '1807-11-30'
'monday december 19 1661', '1661-12-19'
'24 nov 2069', '2069-11-24'
'1922 21 feb', '1922-02-21'
'jun 22 1556', '1556-06-22'
'18 mar 1619', '1619-03-18'
'21 november 1795', '1795-11-21'
'july 24 1674', '1674-07-24'
'march 26 1856', '1856-03-26'
'january 17 1828', '1828-01-17'
'tuesday may 17 1881', '1881-05-17'
'11 may 1568', '1568-05-11'
'sat 22 jul 2006', '2006-07-22'
